epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,432.439,1.34793,0.85445,1.39631,0.94812,0.9,0.89773,0.52827,1.58421,0.9723,1.5021,0.00130393,0.00130393,0.00130393
68,438.082,1.35116,0.91114,1.35982,0.88644,1,0.97833,0.53595,1.47282,0.75629,1.4195,0.00129843,0.00129843,0.00129843
69,444.575,1.30765,0.8279,1.33778,0.9652,1,0.995,0.65561,1.43464,0.62669,1.27506,0.00129293,0.00129293,0.00129293
70,450.215,1.29182,0.84361,1.33663,0.96496,0.98585,0.995,0.57575,1.5058,0.74045,1.29316,0.00128742,0.00128742,0.00128742
71,456.787,1.26322,0.82802,1.31395,0.98476,0.9,0.96643,0.63605,1.35604,0.69081,1.22924,0.00128192,0.00128192,0.00128192
72,462.356,1.29483,0.86209,1.359,0.98225,0.9,0.89723,0.56014,1.54411,0.99304,1.40517,0.00127642,0.00127642,0.00127642
73,468.975,1.26784,0.83869,1.30399,0.97201,0.9,0.896,0.5442,1.67558,0.95231,1.49196,0.00127092,0.00127092,0.00127092
74,474.441,1.29579,0.85786,1.37205,0.98469,0.9,0.8992,0.53531,1.70357,1.07966,1.54262,0.00126542,0.00126542,0.00126542
75,480.885,1.24759,0.82235,1.30546,0.98357,0.9,0.89957,0.56173,1.59651,0.8803,1.42367,0.00125992,0.00125992,0.00125992
76,486.501,1.29012,0.80997,1.32053,0.95902,0.9,0.89823,0.55201,1.57184,0.93894,1.39644,0.00125442,0.00125442,0.00125442
77,492.716,1.32314,0.84237,1.36557,0.96373,0.9,0.89769,0.56429,1.41148,0.94687,1.28659,0.00124892,0.00124892,0.00124892
78,498.528,1.26197,0.83335,1.33869,0.97754,0.9,0.89912,0.60049,1.3648,1.05008,1.29677,0.00124342,0.00124342,0.00124342
79,504.672,1.30044,0.82176,1.33798,0.97098,0.9,0.89756,0.58371,1.48236,0.9071,1.39351,0.00123791,0.00123791,0.00123791
80,510.549,1.25931,0.81903,1.30324,0.98392,0.9,0.89773,0.57024,1.57055,0.96846,1.40143,0.00123241,0.00123241,0.00123241
81,516.513,1.30373,0.81216,1.3064,0.98582,0.9,0.90278,0.52352,1.46995,0.87357,1.2845,0.00122691,0.00122691,0.00122691
82,522.866,1.2801,0.82739,1.33073,0.98399,0.9,0.90278,0.56682,1.55318,0.85696,1.34865,0.00122141,0.00122141,0.00122141
83,528.471,1.25741,0.84128,1.31546,0.96385,0.9,0.89904,0.55037,1.57167,0.88924,1.39978,0.00121591,0.00121591,0.00121591
84,535.002,1.29778,0.82953,1.33946,0.95258,0.9,0.89706,0.54616,1.48241,0.84701,1.35384,0.00121041,0.00121041,0.00121041
85,540.576,1.23103,0.74648,1.30549,0.98281,0.9,0.91773,0.56458,1.48718,0.6943,1.27367,0.00120491,0.00120491,0.00120491
86,547.012,1.28792,0.84015,1.34326,0.97737,0.9,0.89929,0.56477,1.54183,0.91623,1.42511,0.00119941,0.00119941,0.00119941
87,552.491,1.25015,0.79786,1.30741,0.97689,0.9,0.89967,0.60173,1.47153,0.89573,1.38001,0.00119391,0.00119391,0.00119391
88,559.019,1.21407,0.78267,1.28981,0.95889,0.99365,0.995,0.63801,1.33888,0.53882,1.20877,0.0011884,0.0011884,0.0011884
89,564.805,1.21842,0.7581,1.2865,0.97636,0.99418,0.995,0.6365,1.45422,0.58893,1.28399,0.0011829,0.0011829,0.0011829
90,571.146,1.25158,0.76434,1.29153,0.96987,0.9,0.90224,0.56653,1.60911,0.72816,1.41649,0.0011774,0.0011774,0.0011774
91,576.87,1.1801,0.77184,1.28713,0.96036,0.9,0.90083,0.62482,1.38751,0.83753,1.36832,0.0011719,0.0011719,0.0011719
92,584.38,1.20485,0.76947,1.31673,0.95917,0.9,0.89912,0.57913,1.58951,0.99456,1.41149,0.0011664,0.0011664,0.0011664
